00606.ppm;GTSDB_1016.ppm;855;353;998;509;139
00612.ppm;GTSDB_1017.ppm;768;463;881;543;139
00618.ppm;GTSDB_1025.ppm;697;570;724;582;139
00619.ppm;GTSDB_1028.ppm;780;420;857;485;139
00640.ppm;GTSDB_1044.ppm;902;286;1051;513;139
00649.ppm;GTSDB_1056.ppm;935;5;1155;195;139
00680.ppm;GTSDB_1107.ppm;1086;459;1125;472;139
00680.ppm;GTSDB_1108.ppm;1085;447;1125;460;139
00680.ppm;GTSDB_1109.ppm;1174;461;1207;493;139
00684.ppm;GTSDB_1116.ppm;648;507;679;526;139
00684.ppm;GTSDB_1118.ppm;932;407;1094;538;139
00701.ppm;GTSDB_1140.ppm;755;442;793;483;139
00071.ppm;GTSDB_116.ppm;745;445;788;494;139
00719.ppm;GTSDB_1179.ppm;421;457;440;478;139
00719.ppm;GTSDB_1182.ppm;577;448;625;479;139
00719.ppm;GTSDB_1183.ppm;736;473;762;485;139
00720.ppm;GTSDB_1186.ppm;453;452;475;475;139
00720.ppm;GTSDB_1187.ppm;638;428;714;473;139
00725.ppm;GTSDB_1199.ppm;692;552;739;620;139
00731.ppm;GTSDB_1212.ppm;673;567;694;581;139
00737.ppm;GTSDB_1223.ppm;322;501;388;537;139
00738.ppm;GTSDB_1226.ppm;682;559;789;575;139
00745.ppm;GTSDB_1236.ppm;797;529;837;568;139
00745.ppm;GTSDB_1237.ppm;730;532;774;571;139
00746.ppm;GTSDB_1238.ppm;803;566;856;604;139
00748.ppm;GTSDB_1242.ppm;715;563;778;588;139
00748.ppm;GTSDB_1243.ppm;718;493;765;553;139
00748.ppm;GTSDB_1245.ppm;640;494;720;557;139
00749.ppm;GTSDB_1246.ppm;758;560;800;588;139
00749.ppm;GTSDB_1247.ppm;754;585;806;617;139
00749.ppm;GTSDB_1250.ppm;572;374;758;488;139
00750.ppm;GTSDB_1255.ppm;719;371;871;489;139
00750.ppm;GTSDB_1256.ppm;545;369;713;492;139
00082.ppm;GTSDB_126.ppm;425;446;469;496;139
00758.ppm;GTSDB_1269.ppm;779;439;882;512;139
00759.ppm;GTSDB_1270.ppm;1020;400;1151;587;139
00760.ppm;GTSDB_1271.ppm;671;568;716;591;139
00760.ppm;GTSDB_1272.ppm;740;572;764;603;139
00760.ppm;GTSDB_1273.ppm;760;520;826;565;139
00770.ppm;GTSDB_1284.ppm;881;479;972;561;139
00771.ppm;GTSDB_1286.ppm;932;358;1093;517;139
00778.ppm;GTSDB_1298.ppm;681;517;757;588;139
00791.ppm;GTSDB_1318.ppm;262;278;593;412;139
00791.ppm;GTSDB_1319.ppm;659;269;809;396;139
00796.ppm;GTSDB_1345.ppm;1001;573;1041;608;139
00087.ppm;GTSDB_142.ppm;668;391;741;444;139
00838.ppm;GTSDB_1422.ppm;907;394;974;452;139
00843.ppm;GTSDB_1430.ppm;1028;299;1112;395;139
00844.ppm;GTSDB_1434.ppm;1017;270;1125;322;139
00088.ppm;GTSDB_144.ppm;741;421;787;502;139
00869.ppm;GTSDB_1466.ppm;886;449;935;485;139
00875.ppm;GTSDB_1476.ppm;970;241;1132;508;139
00876.ppm;GTSDB_1477.ppm;649;372;764;434;139
00877.ppm;GTSDB_1479.ppm;724;583;749;601;139
00878.ppm;GTSDB_1482.ppm;991;511;1059;591;139
00883.ppm;GTSDB_1486.ppm;642;527;736;571;139
00885.ppm;GTSDB_1487.ppm;764;463;878;545;139
00893.ppm;GTSDB_1495.ppm;909;396;1070;529;139
00897.ppm;GTSDB_1506.ppm;811;406;924;531;139
00097.ppm;GTSDB_158.ppm;1243;220;1361;283;139
00097.ppm;GTSDB_159.ppm;1246;277;1361;417;139
00100.ppm;GTSDB_163.ppm;753;503;811;544;139
00103.ppm;GTSDB_171.ppm;920;344;1003;437;139
00105.ppm;GTSDB_173.ppm;599;414;694;470;139
00110.ppm;GTSDB_186.ppm;769;489;842;511;139
00121.ppm;GTSDB_229.ppm;969;432;1016;465;139
00121.ppm;GTSDB_230.ppm;847;429;891;462;139
00122.ppm;GTSDB_231.ppm;674;491;703;515;139
00128.ppm;GTSDB_241.ppm;1185;287;1295;478;139
00143.ppm;GTSDB_291.ppm;341;86;629;343;139
00184.ppm;GTSDB_341.ppm;695;405;715;431;139
00199.ppm;GTSDB_360.ppm;840;404;868;433;139
00200.ppm;GTSDB_363.ppm;941;332;981;370;139
00212.ppm;GTSDB_393.ppm;725;362;778;452;139
00215.ppm;GTSDB_399.ppm;818;454;886;492;139
00033.ppm;GTSDB_40.ppm;608;364;696;440;139
00216.ppm;GTSDB_401.ppm;787;434;831;494;139
00232.ppm;GTSDB_422.ppm;735;416;752;456;139
00247.ppm;GTSDB_457.ppm;635;462;659;485;139
00247.ppm;GTSDB_458.ppm;602;462;632;485;139
00035.ppm;GTSDB_46.ppm;802;348;898;456;139
00248.ppm;GTSDB_464.ppm;673;441;719;468;139
00249.ppm;GTSDB_466.ppm;847;457;879;488;139
00249.ppm;GTSDB_468.ppm;1173;246;1361;421;139
00255.ppm;GTSDB_476.ppm;638;454;669;480;139
00256.ppm;GTSDB_479.ppm;875;401;933;463;139
00263.ppm;GTSDB_518.ppm;951;453;972;473;139
00263.ppm;GTSDB_519.ppm;728;459;747;478;139
00267.ppm;GTSDB_525.ppm;778;428;809;469;139
00270.ppm;GTSDB_527.ppm;959;353;1054;430;139
00271.ppm;GTSDB_528.ppm;934;367;1043;463;139
00276.ppm;GTSDB_558.ppm;425;418;464;477;139
00292.ppm;GTSDB_565.ppm;644;462;705;481;139
00293.ppm;GTSDB_573.ppm;570;294;888;387;139
00294.ppm;GTSDB_585.ppm;801;392;881;429;139
00302.ppm;GTSDB_595.ppm;1071;416;1103;453;139
00302.ppm;GTSDB_599.ppm;1010;392;1058;407;139
00303.ppm;GTSDB_600.ppm;868;442;897;480;139
00310.ppm;GTSDB_606.ppm;931;440;985;482;139
00318.ppm;GTSDB_622.ppm;830;1;1061;156;139
00318.ppm;GTSDB_624.ppm;210;49;395;186;139
00321.ppm;GTSDB_627.ppm;948;437;976;476;139
00322.ppm;GTSDB_632.ppm;1047;341;1150;467;139
00334.ppm;GTSDB_653.ppm;514;197;699;364;139
00336.ppm;GTSDB_656.ppm;732;483;753;499;139
00341.ppm;GTSDB_663.ppm;599;610;624;636;139
00341.ppm;GTSDB_664.ppm;533;610;591;635;139
00341.ppm;GTSDB_665.ppm;791;552;836;583;139
00346.ppm;GTSDB_671.ppm;744;527;778;555;139
00347.ppm;GTSDB_673.ppm;572;552;634;573;139
00354.ppm;GTSDB_683.ppm;710;460;800;530;139
00354.ppm;GTSDB_684.ppm;585;458;692;528;139
00358.ppm;GTSDB_691.ppm;656;560;695;589;139
00358.ppm;GTSDB_692.ppm;700;564;727;588;139
00360.ppm;GTSDB_695.ppm;649;118;986;355;139
00362.ppm;GTSDB_696.ppm;853;544;924;597;139
00366.ppm;GTSDB_698.ppm;692;559;719;581;139
00366.ppm;GTSDB_699.ppm;658;559;688;580;139
00367.ppm;GTSDB_701.ppm;768;550;823;597;139
00371.ppm;GTSDB_706.ppm;595;334;805;461;139
00373.ppm;GTSDB_708.ppm;626;321;727;390;139
00373.ppm;GTSDB_709.ppm;358;326;567;401;139
00377.ppm;GTSDB_715.ppm;756;516;803;599;139
00377.ppm;GTSDB_716.ppm;811;300;995;452;139
00378.ppm;GTSDB_717.ppm;886;508;926;559;139
00378.ppm;GTSDB_718.ppm;835;510;885;560;139
00383.ppm;GTSDB_719.ppm;798;559;859;598;139
00384.ppm;GTSDB_722.ppm;663;574;680;585;139
00386.ppm;GTSDB_725.ppm;747;569;771;585;139
00387.ppm;GTSDB_728.ppm;809;529;877;565;139
00394.ppm;GTSDB_731.ppm;848;533;928;586;139
00395.ppm;GTSDB_733.ppm;726;462;834;540;139
00405.ppm;GTSDB_735.ppm;781;553;817;584;139
00409.ppm;GTSDB_740.ppm;703;522;741;539;139
00414.ppm;GTSDB_748.ppm;845;466;927;539;139
00416.ppm;GTSDB_756.ppm;888;461;1089;523;139
00417.ppm;GTSDB_758.ppm;506;417;713;495;139
00419.ppm;GTSDB_765.ppm;568;463;789;542;139
00420.ppm;GTSDB_768.ppm;487;402;692;516;139
00420.ppm;GTSDB_769.ppm;696;407;846;504;139
00424.ppm;GTSDB_772.ppm;771;551;807;595;139
00427.ppm;GTSDB_777.ppm;750;466;809;526;139
00427.ppm;GTSDB_778.ppm;664;467;748;529;139
00432.ppm;GTSDB_780.ppm;387;292;894;463;139
00435.ppm;GTSDB_784.ppm;516;551;546;576;139
00437.ppm;GTSDB_786.ppm;756;543;845;577;139
00438.ppm;GTSDB_792.ppm;745;454;846;535;139
00468.ppm;GTSDB_836.ppm;827;539;860;596;139
00473.ppm;GTSDB_848.ppm;828;549;873;581;139
00473.ppm;GTSDB_849.ppm;777;551;817;583;139
00474.ppm;GTSDB_852.ppm;818;574;841;593;139
00475.ppm;GTSDB_854.ppm;790;576;809;590;139
00484.ppm;GTSDB_867.ppm;976;493;1065;607;139
00484.ppm;GTSDB_868.ppm;599;506;719;566;139
00484.ppm;GTSDB_869.ppm;310;473;403;588;139
00485.ppm;GTSDB_870.ppm;677;561;702;580;139
00485.ppm;GTSDB_871.ppm;127;288;350;567;139
00486.ppm;GTSDB_873.ppm;728;549;766;577;139
00489.ppm;GTSDB_875.ppm;826;560;853;588;139
00490.ppm;GTSDB_876.ppm;1036;70;1359;387;139
00495.ppm;GTSDB_879.ppm;784;565;818;611;139
00496.ppm;GTSDB_880.ppm;730;573;788;584;139
00496.ppm;GTSDB_883.ppm;999;314;1174;459;139
00057.ppm;GTSDB_89.ppm;873;384;936;465;139
00517.ppm;GTSDB_904.ppm;783;563;814;585;139
00520.ppm;GTSDB_907.ppm;713;561;774;589;139
00522.ppm;GTSDB_909.ppm;705;368;1007;482;139
00523.ppm;GTSDB_911.ppm;963;526;1014;574;139
00524.ppm;GTSDB_913.ppm;711;581;733;602;139
00528.ppm;GTSDB_923.ppm;896;455;925;475;139
00531.ppm;GTSDB_931.ppm;648;433;693;451;139
00535.ppm;GTSDB_933.ppm;672;410;758;489;139
00549.ppm;GTSDB_947.ppm;619;409;662;455;139
00552.ppm;GTSDB_958.ppm;716;481;758;517;139
00553.ppm;GTSDB_959.ppm;940;120;1195;540;139
00571.ppm;GTSDB_973.ppm;530;333;626;423;139
00581.ppm;GTSDB_986.ppm;723;468;771;510;139
00581.ppm;GTSDB_987.ppm;663;470;716;511;139
00583.ppm;GTSDB_989.ppm;885;215;926;293;139
00583.ppm;GTSDB_992.ppm;604;343;677;408;139
