00603.ppm;GTSDB_1013.ppm;362;500;421;534;158
00683.ppm;GTSDB_1115.ppm;389;478;411;490;158
00705.ppm;GTSDB_1144.ppm;1276;259;1335;321;158
00706.ppm;GTSDB_1149.ppm;1276;114;1360;221;158
00714.ppm;GTSDB_1171.ppm;797;383;828;401;158
00715.ppm;GTSDB_1177.ppm;1078;36;1201;172;158
00803.ppm;GTSDB_1353.ppm;780;296;829;325;158
00834.ppm;GTSDB_1409.ppm;1135;322;1185;352;158
00872.ppm;GTSDB_1472.ppm;939;439;975;461;158
00173.ppm;GTSDB_336.ppm;1122;356;1159;380;158
00244.ppm;GTSDB_449.ppm;493;428;533;452;158
00245.ppm;GTSDB_450.ppm;853;460;877;474;158
00246.ppm;GTSDB_453.ppm;313;424;360;451;158
00323.ppm;GTSDB_635.ppm;399;464;426;479;158
00349.ppm;GTSDB_676.ppm;1245;535;1308;568;158
00349.ppm;GTSDB_677.ppm;57;513;115;543;158
00350.ppm;GTSDB_679.ppm;480;575;509;591;158
00384.ppm;GTSDB_723.ppm;1208;543;1263;575;158
00386.ppm;GTSDB_726.ppm;980;572;1000;584;158
00386.ppm;GTSDB_727.ppm;559;585;580;598;158
00473.ppm;GTSDB_847.ppm;1156;538;1189;557;158
00517.ppm;GTSDB_905.ppm;278;495;349;540;158
00523.ppm;GTSDB_910.ppm;1289;554;1337;580;158
00523.ppm;GTSDB_912.ppm;458;562;504;588;158
00527.ppm;GTSDB_921.ppm;873;456;904;474;158
00527.ppm;GTSDB_922.ppm;362;450;392;468;158
00530.ppm;GTSDB_926.ppm;1011;433;1047;452;158
00530.ppm;GTSDB_929.ppm;426;435;460;455;158
00531.ppm;GTSDB_930.ppm;912;452;932;464;158
00531.ppm;GTSDB_932.ppm;485;463;507;474;158
00565.ppm;GTSDB_967.ppm;1051;235;1133;314;158
